time, rleg_crotch_p, rleg_crotch_r, rleg_crotch_y, rleg_knee_p, rleg_knee_p2, rleg_ankle_p, rleg_ankle_r, lleg_crotch_p, lleg_crotch_r, lleg_crotch_y, lleg_knee_p, lleg_knee_p2, lleg_ankle_p, lleg_ankle_r, torso_waist_y, torso_waist_p, torso_waist_p2, head_neck_y, head_neck_p, rarm_shoulder_p, rarm_shoulder_r, rarm_shoulder_y, rarm_elbow_p, rarm_elbow_p2, rarm_wrist_y, rarm_wrist_r, rarm_gripper, larm_shoulder_p, larm_shoulder_r, larm_shoulder_y, larm_elbow_p, larm_elbow_p2, larm_wrist_y, larm_wrist_r, larm_gripper
3.0, -1.05805, -0.052229, 0.024138, 0.773199, 0.806993, -0.522655, 0.058909, -1.05805, 0.052231, -0.024147, 0.773198, 0.806992, -0.522655, -0.058917, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.05, -1.05822, -0.052221, 0.02414, 0.773177, 0.807023, -0.522498, 0.0589, -1.05822, 0.052226, -0.024154, 0.773176, 0.807021, -0.522497, -0.058915, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.1, -1.05848, -0.052209, 0.024143, 0.773152, 0.807061, -0.522254, 0.058888, -1.05848, 0.052219, -0.024165, 0.77315, 0.807059, -0.522252, -0.058912, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.15, -1.05882, -0.052194, 0.024147, 0.773125, 0.807106, -0.521932, 0.058873, -1.05881, 0.052208, -0.024178, 0.773122, 0.807103, -0.52193, -0.058908, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.2, -1.05922, -0.052175, 0.024153, 0.773095, 0.807156, -0.521545, 0.058855, -1.05922, 0.052194, -0.024194, 0.773092, 0.807153, -0.521542, -0.058901, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.25, -1.05969, -0.052155, 0.02416, 0.773064, 0.807212, -0.5211, 0.058836, -1.05969, 0.052179, -0.024211, 0.77306, 0.807207, -0.521096, -0.058892, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.3, -1.06021, -0.052133, 0.02417, 0.77303, 0.807271, -0.520605, 0.058816, -1.06021, 0.05216, -0.024228, 0.773026, 0.807266, -0.5206, -0.058881, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.35, -1.06078, -0.05211, 0.024182, 0.772995, 0.807333, -0.520067, 0.058796, -1.06078, 0.05214, -0.024246, 0.77299, 0.807328, -0.520061, -0.058867, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.4, -1.06138, -0.052086, 0.024196, 0.772958, 0.807398, -0.519491, 0.058777, -1.06138, 0.052116, -0.024263, 0.772953, 0.807392, -0.519486, -0.058851, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.45, -1.06202, -0.052062, 0.024213, 0.77292, 0.807464, -0.518884, 0.058759, -1.06202, 0.052091, -0.024279, 0.772916, 0.807458, -0.518878, -0.058831, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
