time, rleg_crotch_p, rleg_crotch_r, rleg_crotch_y, rleg_knee_p, rleg_knee_p2, rleg_ankle_p, rleg_ankle_r, lleg_crotch_p, lleg_crotch_r, lleg_crotch_y, lleg_knee_p, lleg_knee_p2, lleg_ankle_p, lleg_ankle_r, torso_waist_y, torso_waist_p, torso_waist_p2, head_neck_y, head_neck_p, rarm_shoulder_p, rarm_shoulder_r, rarm_shoulder_y, rarm_elbow_p, rarm_elbow_p2, rarm_wrist_y, rarm_wrist_r, rarm_gripper, larm_shoulder_p, larm_shoulder_r, larm_shoulder_y, larm_elbow_p, larm_elbow_p2, larm_wrist_y, larm_wrist_r, larm_gripper
3.0, -1.05797, -0.052227, 0.024129, 0.773234, 0.806957, -0.522738, 0.058903, -1.05797, 0.052239, -0.024152, 0.773232, 0.806954, -0.522736, -0.058929, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.05, -1.05814, -0.052209, 0.024113, 0.773213, 0.806988, -0.522582, 0.058874, -1.05814, 0.052245, -0.024177, 0.773208, 0.806983, -0.522576, -0.058947, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.1, -1.0584, -0.052181, 0.024087, 0.77319, 0.807029, -0.522339, 0.058829, -1.05839, 0.052253, -0.024217, 0.77318, 0.807018, -0.522328, -0.058977, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.15, -1.05874, -0.052144, 0.024053, 0.773165, 0.807078, -0.522021, 0.058769, -1.05873, 0.052264, -0.024269, 0.773149, 0.80706, -0.522002, -0.059017, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.2, -1.05915, -0.052098, 0.02401, 0.773138, 0.807133, -0.521637, 0.058696, -1.05914, 0.052278, -0.024333, 0.773115, 0.807107, -0.521608, -0.059066, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.25, -1.05963, -0.052045, 0.023961, 0.773109, 0.807193, -0.521196, 0.058611, -1.0596, 0.052294, -0.024407, 0.773078, 0.807158, -0.521157, -0.059123, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.3, -1.06015, -0.051986, 0.023904, 0.77308, 0.807258, -0.520705, 0.058515, -1.06012, 0.052313, -0.024491, 0.773038, 0.807212, -0.520654, -0.059188, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.35, -1.06072, -0.051921, 0.023841, 0.773049, 0.807327, -0.520172, 0.058409, -1.06069, 0.052334, -0.024583, 0.772997, 0.807269, -0.520108, -0.05926, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.4, -1.06133, -0.05185, 0.023772, 0.773018, 0.807398, -0.519602, 0.058294, -1.06129, 0.052358, -0.024684, 0.772953, 0.807327, -0.519523, -0.059339, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.45, -1.06197, -0.051775, 0.023698, 0.772986, 0.807472, -0.519001, 0.05817, -1.06192, 0.052384, -0.024792, 0.772909, 0.807387, -0.518907, -0.059424, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
