time, rleg_crotch_p, rleg_crotch_r, rleg_crotch_y, rleg_knee_p, rleg_knee_p2, rleg_ankle_p, rleg_ankle_r, lleg_crotch_p, lleg_crotch_r, lleg_crotch_y, lleg_knee_p, lleg_knee_p2, lleg_ankle_p, lleg_ankle_r, torso_waist_y, torso_waist_p, torso_waist_p2, head_neck_y, head_neck_p, rarm_shoulder_p, rarm_shoulder_r, rarm_shoulder_y, rarm_elbow_p, rarm_elbow_p2, rarm_wrist_y, rarm_wrist_r, rarm_gripper, larm_shoulder_p, larm_shoulder_r, larm_shoulder_y, larm_elbow_p, larm_elbow_p2, larm_wrist_y, larm_wrist_r, larm_gripper
3.0, -1.05797, -0.052233, 0.024138, 0.773234, 0.806956, -0.522737, 0.058913, -1.05797, 0.052234, -0.024143, 0.773233, 0.806955, -0.522737, -0.058918, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.05, -1.05814, -0.052225, 0.02414, 0.773211, 0.806986, -0.522579, 0.058905, -1.05814, 0.052229, -0.02415, 0.77321, 0.806985, -0.522578, -0.058916, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.1, -1.0584, -0.052213, 0.024143, 0.773186, 0.807025, -0.522334, 0.058893, -1.05839, 0.052221, -0.024161, 0.773184, 0.807023, -0.522332, -0.058913, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.15, -1.05874, -0.052197, 0.024147, 0.773158, 0.80707, -0.522013, 0.058877, -1.05873, 0.052211, -0.024175, 0.773155, 0.807067, -0.52201, -0.058908, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.2, -1.05915, -0.052179, 0.024153, 0.773128, 0.807122, -0.521624, 0.058859, -1.05914, 0.052197, -0.02419, 0.773125, 0.807118, -0.521621, -0.058902, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.25, -1.05962, -0.052158, 0.02416, 0.773095, 0.807178, -0.521178, 0.05884, -1.05961, 0.052181, -0.024207, 0.773092, 0.807173, -0.521174, -0.058893, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.3, -1.06014, -0.052136, 0.02417, 0.773061, 0.807238, -0.520682, 0.05882, -1.06013, 0.052163, -0.024225, 0.773057, 0.807233, -0.520677, -0.058882, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.35, -1.06071, -0.052113, 0.024182, 0.773025, 0.807301, -0.520143, 0.0588, -1.0607, 0.052142, -0.024243, 0.773021, 0.807295, -0.520137, -0.058868, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.4, -1.06131, -0.052089, 0.024196, 0.772988, 0.807366, -0.519566, 0.058781, -1.06131, 0.052119, -0.02426, 0.772983, 0.80736, -0.519559, -0.058851, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.45, -1.06195, -0.052065, 0.024213, 0.77295, 0.807433, -0.518957, 0.058762, -1.06195, 0.052094, -0.024276, 0.772945, 0.807427, -0.518951, -0.058832, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.5, -1.06261, -0.052041, 0.024233, 0.77291, 0.807501, -0.518322, 0.058746, -1.06261, 0.052066, -0.024291, 0.772906, 0.807496, -0.518316, -0.058809, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.55, -1.0633, -0.052018, 0.024256, 0.77287, 0.80757, -0.517665, 0.058731, -1.0633, 0.052036, -0.024304, 0.772866, 0.807565, -0.517659, -0.058782, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.6, -1.064, -0.051995, 0.024281, 0.772828, 0.807638, -0.51699, 0.058719, -1.064, 0.052004, -0.024314, 0.772826, 0.807635, -0.516986, -0.058752, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.65, -1.06472, -0.051974, 0.024311, 0.772786, 0.807707, -0.516301, 0.05871, -1.06472, 0.05197, -0.024322, 0.772785, 0.807705, -0.516298, -0.058718, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.7, -1.06544, -0.051954, 0.024344, 0.772743, 0.807775, -0.515601, 0.058705, -1.06544, 0.051933, -0.024326, 0.772744, 0.807775, -0.515601, -0.05868, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.75, -1.06617, -0.051936, 0.02438, 0.7727, 0.807841, -0.514894, 0.058704, -1.06618, 0.051894, -0.024327, 0.772704, 0.807845, -0.514898, -0.058637, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.8, -1.06691, -0.05192, 0.024421, 0.772656, 0.807907, -0.514183, 0.058707, -1.06691, 0.051853, -0.024324, 0.772663, 0.807913, -0.51419, -0.05859, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.85, -1.06764, -0.051907, 0.024466, 0.772612, 0.807971, -0.51347, 0.058715, -1.06765, 0.05181, -0.024316, 0.772623, 0.807981, -0.513481, -0.058537, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.9, -1.06837, -0.051895, 0.024516, 0.772568, 0.808033, -0.512757, 0.058729, -1.06838, 0.051764, -0.024304, 0.772583, 0.808048, -0.512773, -0.058479, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.95, -1.0691, -0.051887, 0.02457, 0.772523, 0.808093, -0.512046, 0.058748, -1.06912, 0.051715, -0.024287, 0.772543, 0.808114, -0.512068, -0.058416, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.0, -1.06982, -0.051882, 0.02463, 0.772478, 0.808152, -0.511339, 0.058773, -1.06984, 0.051664, -0.024264, 0.772504, 0.808179, -0.511368, -0.058347, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.05, -1.07054, -0.05188, 0.024694, 0.772434, 0.808208, -0.510637, 0.058805, -1.07056, 0.05161, -0.024235, 0.772466, 0.808242, -0.510674, -0.058272, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.1, -1.07124, -0.051881, 0.024765, 0.772389, 0.808262, -0.509943, 0.058844, -1.07127, 0.051553, -0.0242, 0.772429, 0.808304, -0.509989, -0.058191, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.15, -1.07194, -0.051887, 0.024841, 0.772344, 0.808313, -0.509257, 0.05889, -1.07197, 0.051494, -0.024159, 0.772393, 0.808364, -0.509313, -0.058102, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.2, -1.07262, -0.051896, 0.024924, 0.7723, 0.808362, -0.50858, 0.058944, -1.07266, 0.051431, -0.024111, 0.772357, 0.808424, -0.508647, -0.058007, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.25, -1.07329, -0.051909, 0.025013, 0.772255, 0.808409, -0.507913, 0.059006, -1.07334, 0.051365, -0.024055, 0.772323, 0.808481, -0.507992, -0.057904, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.3, -1.07394, -0.051927, 0.025109, 0.772211, 0.808453, -0.507258, 0.059076, -1.074, 0.051296, -0.023992, 0.772289, 0.808537, -0.50735, -0.057793, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.35, -1.07459, -0.051949, 0.025212, 0.772166, 0.808495, -0.506614, 0.059156, -1.07465, 0.051223, -0.023921, 0.772257, 0.808592, -0.50672, -0.057674, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.4, -1.07522, -0.051976, 0.025323, 0.772122, 0.808534, -0.505982, 0.059246, -1.07529, 0.051147, -0.023841, 0.772227, 0.808646, -0.506105, -0.057546, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.45, -1.07583, -0.052008, 0.025442, 0.772078, 0.80857, -0.505363, 0.059345, -1.07591, 0.051067, -0.023753, 0.772197, 0.808698, -0.505503, -0.057409, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.5, -1.07643, -0.052045, 0.02557, 0.772034, 0.808604, -0.504757, 0.059455, -1.07652, 0.050982, -0.023655, 0.772169, 0.808749, -0.504915, -0.057262, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
