time, rleg_crotch_p, rleg_crotch_r, rleg_crotch_y, rleg_knee_p, rleg_knee_p2, rleg_ankle_p, rleg_ankle_r, lleg_crotch_p, lleg_crotch_r, lleg_crotch_y, lleg_knee_p, lleg_knee_p2, lleg_ankle_p, lleg_ankle_r, torso_waist_y, torso_waist_p, torso_waist_p2, head_neck_y, head_neck_p, rarm_shoulder_p, rarm_shoulder_r, rarm_shoulder_y, rarm_elbow_p, rarm_elbow_p2, rarm_wrist_y, rarm_wrist_r, rarm_gripper, larm_shoulder_p, larm_shoulder_r, larm_shoulder_y, larm_elbow_p, larm_elbow_p2, larm_wrist_y, larm_wrist_r, larm_gripper
3.0, -1.05797, -0.052233, 0.024138, 0.773234, 0.806956, -0.522737, 0.058913, -1.05797, 0.052234, -0.024143, 0.773233, 0.806955, -0.522737, -0.058918, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.05, -1.05814, -0.052225, 0.02414, 0.773211, 0.806986, -0.522579, 0.058905, -1.05814, 0.052229, -0.02415, 0.77321, 0.806985, -0.522578, -0.058916, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.1, -1.0584, -0.052213, 0.024143, 0.773186, 0.807025, -0.522334, 0.058893, -1.0584, 0.052221, -0.024161, 0.773184, 0.807023, -0.522332, -0.058913, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.15, -1.05874, -0.052197, 0.024147, 0.773158, 0.80707, -0.522012, 0.058877, -1.05873, 0.052211, -0.024175, 0.773155, 0.807067, -0.52201, -0.058908, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.2, -1.05915, -0.052179, 0.024153, 0.773128, 0.807122, -0.521624, 0.058859, -1.05914, 0.052197, -0.02419, 0.773125, 0.807118, -0.52162, -0.058902, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.25, -1.05962, -0.052158, 0.02416, 0.773095, 0.807178, -0.521178, 0.05884, -1.05961, 0.052181, -0.024207, 0.773092, 0.807173, -0.521173, -0.058893, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.3, -1.06014, -0.052136, 0.02417, 0.773061, 0.807238, -0.520682, 0.05882, -1.06014, 0.052163, -0.024225, 0.773057, 0.807233, -0.520676, -0.058882, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.35, -1.06071, -0.052113, 0.024182, 0.773025, 0.807301, -0.520142, 0.0588, -1.0607, 0.052142, -0.024243, 0.773021, 0.807295, -0.520136, -0.058868, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.4, -1.06131, -0.052089, 0.024196, 0.772988, 0.807366, -0.519565, 0.058781, -1.06131, 0.052119, -0.02426, 0.772983, 0.80736, -0.519559, -0.058851, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.45, -1.06195, -0.052065, 0.024213, 0.77295, 0.807433, -0.518956, 0.058762, -1.06195, 0.052094, -0.024276, 0.772945, 0.807427, -0.51895, -0.058832, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.5, -1.06261, -0.052041, 0.024233, 0.77291, 0.807501, -0.518321, 0.058746, -1.06261, 0.052066, -0.024291, 0.772906, 0.807496, -0.518315, -0.058809, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.55, -1.0633, -0.052018, 0.024256, 0.772869, 0.80757, -0.517663, 0.058731, -1.0633, 0.052036, -0.024304, 0.772866, 0.807565, -0.517658, -0.058782, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.6, -1.064, -0.051995, 0.024282, 0.772828, 0.807639, -0.516988, 0.058719, -1.064, 0.052004, -0.024314, 0.772826, 0.807635, -0.516984, -0.058752, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.65, -1.06472, -0.051974, 0.024311, 0.772786, 0.807707, -0.516299, 0.05871, -1.06472, 0.05197, -0.024322, 0.772785, 0.807705, -0.516297, -0.058718, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.7, -1.06544, -0.051954, 0.024344, 0.772743, 0.807775, -0.515599, 0.058705, -1.06545, 0.051933, -0.024326, 0.772744, 0.807775, -0.515599, -0.05868, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.75, -1.06618, -0.051936, 0.02438, 0.7727, 0.807842, -0.514892, 0.058704, -1.06618, 0.051894, -0.024327, 0.772704, 0.807845, -0.514895, -0.058637, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.8, -1.06691, -0.05192, 0.024421, 0.772656, 0.807907, -0.51418, 0.058707, -1.06692, 0.051853, -0.024324, 0.772663, 0.807914, -0.514187, -0.05859, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.85, -1.06764, -0.051906, 0.024466, 0.772612, 0.807971, -0.513467, 0.058715, -1.06765, 0.051809, -0.024316, 0.772623, 0.807982, -0.513478, -0.058537, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.9, -1.06838, -0.051895, 0.024516, 0.772567, 0.808033, -0.512753, 0.058729, -1.06839, 0.051763, -0.024304, 0.772583, 0.808049, -0.51277, -0.058479, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.95, -1.0691, -0.051887, 0.02457, 0.772523, 0.808094, -0.512042, 0.058748, -1.06912, 0.051715, -0.024287, 0.772543, 0.808115, -0.512064, -0.058416, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.0, -1.06983, -0.051882, 0.02463, 0.772478, 0.808152, -0.511335, 0.058773, -1.06985, 0.051664, -0.024264, 0.772504, 0.808179, -0.511364, -0.058347, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.05, -1.07054, -0.05188, 0.024694, 0.772434, 0.808208, -0.510633, 0.058805, -1.07056, 0.05161, -0.024235, 0.772466, 0.808242, -0.51067, -0.058272, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.1, -1.07125, -0.051881, 0.024765, 0.772389, 0.808262, -0.509938, 0.058844, -1.07127, 0.051553, -0.024201, 0.772429, 0.808304, -0.509984, -0.05819, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.15, -1.07194, -0.051886, 0.024841, 0.772344, 0.808314, -0.509252, 0.05889, -1.07198, 0.051494, -0.024159, 0.772392, 0.808365, -0.509307, -0.058102, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.2, -1.07262, -0.051896, 0.024924, 0.772299, 0.808363, -0.508574, 0.058944, -1.07267, 0.051431, -0.024111, 0.772357, 0.808424, -0.508641, -0.058007, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.25, -1.07329, -0.051909, 0.025013, 0.772255, 0.80841, -0.507907, 0.059006, -1.07334, 0.051365, -0.024056, 0.772322, 0.808482, -0.507986, -0.057904, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.3, -1.07395, -0.051926, 0.025109, 0.77221, 0.808454, -0.507251, 0.059076, -1.07401, 0.051296, -0.023992, 0.772289, 0.808538, -0.507343, -0.057793, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.35, -1.07459, -0.051949, 0.025212, 0.772166, 0.808495, -0.506607, 0.059156, -1.07466, 0.051223, -0.023921, 0.772257, 0.808593, -0.506713, -0.057673, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.4, -1.07522, -0.051975, 0.025323, 0.772122, 0.808535, -0.505974, 0.059245, -1.0753, 0.051147, -0.023841, 0.772226, 0.808646, -0.506097, -0.057545, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.45, -1.07584, -0.052007, 0.025442, 0.772078, 0.808571, -0.505355, 0.059345, -1.07592, 0.051066, -0.023753, 0.772197, 0.808699, -0.505495, -0.057408, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.5, -1.07644, -0.052045, 0.02557, 0.772034, 0.808605, -0.504748, 0.059455, -1.07653, 0.050982, -0.023655, 0.772169, 0.80875, -0.504907, -0.057261, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
