time, rleg_crotch_p, rleg_crotch_r, rleg_crotch_y, rleg_knee_p, rleg_knee_p2, rleg_ankle_p, rleg_ankle_r, lleg_crotch_p, lleg_crotch_r, lleg_crotch_y, lleg_knee_p, lleg_knee_p2, lleg_ankle_p, lleg_ankle_r, torso_waist_y, torso_waist_p, torso_waist_p2, head_neck_y, head_neck_p, rarm_shoulder_p, rarm_shoulder_r, rarm_shoulder_y, rarm_elbow_p, rarm_elbow_p2, rarm_wrist_y, rarm_wrist_r, rarm_gripper, larm_shoulder_p, larm_shoulder_r, larm_shoulder_y, larm_elbow_p, larm_elbow_p2, larm_wrist_y, larm_wrist_r, larm_gripper
3.0, -1.05797, -0.052233, 0.024138, 0.773234, 0.806956, -0.522737, 0.058913, -1.05797, 0.052234, -0.024143, 0.773233, 0.806955, -0.522737, -0.058918, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.05, -1.05814, -0.052225, 0.02414, 0.773211, 0.806986, -0.522579, 0.058905, -1.05814, 0.052229, -0.02415, 0.77321, 0.806985, -0.522578, -0.058916, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.1, -1.0584, -0.052213, 0.024143, 0.773186, 0.807025, -0.522335, 0.058892, -1.05839, 0.052221, -0.024161, 0.773184, 0.807023, -0.522332, -0.058913, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.15, -1.05874, -0.052197, 0.024147, 0.773158, 0.80707, -0.522013, 0.058877, -1.05873, 0.052211, -0.024175, 0.773155, 0.807067, -0.52201, -0.058909, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.2, -1.05915, -0.052179, 0.024152, 0.773128, 0.807122, -0.521624, 0.058859, -1.05914, 0.052197, -0.024191, 0.773125, 0.807118, -0.521621, -0.058902, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.25, -1.05962, -0.052158, 0.02416, 0.773095, 0.807178, -0.521179, 0.05884, -1.05961, 0.052181, -0.024208, 0.773092, 0.807173, -0.521174, -0.058893, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.3, -1.06014, -0.052136, 0.02417, 0.773061, 0.807238, -0.520682, 0.05882, -1.06013, 0.052163, -0.024225, 0.773057, 0.807233, -0.520677, -0.058882, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.35, -1.0607, -0.052113, 0.024181, 0.773025, 0.807301, -0.520143, 0.0588, -1.0607, 0.052142, -0.024243, 0.773021, 0.807295, -0.520137, -0.058868, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.4, -1.06131, -0.052089, 0.024196, 0.772988, 0.807366, -0.519566, 0.05878, -1.06131, 0.052119, -0.024261, 0.772983, 0.80736, -0.51956, -0.058852, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.45, -1.06195, -0.052065, 0.024212, 0.77295, 0.807433, -0.518958, 0.058762, -1.06194, 0.052094, -0.024277, 0.772945, 0.807427, -0.518951, -0.058833, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.5, -1.06261, -0.052041, 0.024232, 0.77291, 0.807501, -0.518322, 0.058745, -1.06261, 0.052066, -0.024292, 0.772906, 0.807496, -0.518316, -0.05881, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.55, -1.0633, -0.052017, 0.024255, 0.77287, 0.80757, -0.517665, 0.05873, -1.0633, 0.052037, -0.024305, 0.772866, 0.807565, -0.51766, -0.058784, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.6, -1.064, -0.051995, 0.02428, 0.772828, 0.807638, -0.51699, 0.058718, -1.064, 0.052005, -0.024315, 0.772826, 0.807635, -0.516986, -0.058754, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.65, -1.06472, -0.051973, 0.024309, 0.772786, 0.807707, -0.516301, 0.058709, -1.06472, 0.05197, -0.024323, 0.772785, 0.807705, -0.516299, -0.05872, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.7, -1.06544, -0.051953, 0.024342, 0.772743, 0.807775, -0.515602, 0.058703, -1.06544, 0.051934, -0.024328, 0.772744, 0.807775, -0.515602, -0.058682, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.75, -1.06617, -0.051935, 0.024379, 0.7727, 0.807841, -0.514895, 0.058702, -1.06618, 0.051895, -0.024329, 0.772704, 0.807844, -0.514898, -0.058639, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.8, -1.06691, -0.051919, 0.024419, 0.772656, 0.807907, -0.514184, 0.058705, -1.06691, 0.051854, -0.024326, 0.772663, 0.807913, -0.514191, -0.058592, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.85, -1.06764, -0.051905, 0.024464, 0.772612, 0.807971, -0.513471, 0.058713, -1.06765, 0.051811, -0.024318, 0.772623, 0.807981, -0.513482, -0.05854, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.9, -1.06837, -0.051894, 0.024514, 0.772568, 0.808033, -0.512758, 0.058726, -1.06838, 0.051765, -0.024306, 0.772583, 0.808048, -0.512774, -0.058482, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
3.95, -1.0691, -0.051886, 0.024568, 0.772523, 0.808093, -0.512047, 0.058745, -1.06911, 0.051716, -0.024289, 0.772543, 0.808114, -0.512069, -0.058419, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.0, -1.06982, -0.05188, 0.024627, 0.772479, 0.808152, -0.51134, 0.05877, -1.06984, 0.051665, -0.024267, 0.772504, 0.808178, -0.511369, -0.05835, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.05, -1.07053, -0.051878, 0.024691, 0.772434, 0.808208, -0.510639, 0.058802, -1.07056, 0.051612, -0.024238, 0.772466, 0.808242, -0.510676, -0.058276, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.1, -1.07124, -0.05188, 0.024761, 0.772389, 0.808262, -0.509945, 0.05884, -1.07127, 0.051555, -0.024204, 0.772429, 0.808304, -0.50999, -0.058194, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.15, -1.07193, -0.051885, 0.024837, 0.772345, 0.808313, -0.509259, 0.058886, -1.07197, 0.051496, -0.024163, 0.772392, 0.808364, -0.509314, -0.058106, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.2, -1.07262, -0.051894, 0.02492, 0.7723, 0.808363, -0.508582, 0.058939, -1.07266, 0.051433, -0.024115, 0.772357, 0.808423, -0.508648, -0.058011, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.25, -1.07329, -0.051907, 0.025008, 0.772255, 0.808409, -0.507916, 0.059001, -1.07333, 0.051368, -0.02406, 0.772323, 0.808481, -0.507994, -0.057909, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.3, -1.07394, -0.051924, 0.025104, 0.772211, 0.808453, -0.507261, 0.059071, -1.074, 0.051299, -0.023997, 0.772289, 0.808537, -0.507352, -0.057798, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.35, -1.07459, -0.051946, 0.025207, 0.772167, 0.808495, -0.506617, 0.059151, -1.07465, 0.051226, -0.023926, 0.772257, 0.808592, -0.506722, -0.057679, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.4, -1.07521, -0.051973, 0.025318, 0.772123, 0.808534, -0.505985, 0.05924, -1.07529, 0.05115, -0.023846, 0.772226, 0.808645, -0.506107, -0.057552, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.45, -1.07583, -0.052005, 0.025436, 0.772079, 0.808571, -0.505366, 0.059338, -1.07591, 0.05107, -0.023758, 0.772197, 0.808697, -0.505505, -0.057415, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
4.5, -1.07642, -0.052042, 0.025564, 0.772035, 0.808605, -0.50476, 0.059448, -1.07652, 0.050986, -0.023661, 0.772169, 0.808748, -0.504918, -0.057269, 0.0, 0.0, 0.0, 0.0, 0.174533, 0.349066, -0.523599, -0.174533, -0.610865, -0.610865, -0.436332, -0.087266, 1.0472, 0.349066, 0.523599, 0.174533, -0.610865, -0.610865, 0.436332, 0.087266, 1.0472
